ID,Name,Võro.South.Estonian,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Sulev Iva (p.c. 2020),,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Sulev Iva (p.c. 2020),,
UT003,Can finite verbs agree in number with a nominal object?,0,Sulev Iva (p.c. 2020),,
UT004,Can an adnominal property word agree with the noun in case?,1,Sulev Iva (p.c. 2020),UT004,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Sulev Iva (p.c. 2020),UT005,
UT006,Can adpositions be used to mark core verbal arguments?,0,Sulev Iva (p.c. 2020),,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Sulev Iva (p.c. 2020),UT008,
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Sulev Iva (p.c. 2020),,
UT010,"Do characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Sulev Iva (p.c. 2020),,
UT011,Does object marking correlate with aspectuality?,1,Sulev Iva (p.c. 2020),"UT011-1, UT011-2",
UT012,Does object marking depend on the verb conjugation form?,1,Sulev Iva (p.c. 2020),"UT012-1, UT012-2",
UT013,Is there differential subject marking?,1,Sulev Iva (p.c. 2020),"UT013-1, UT013-2",
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Sulev Iva (p.c. 2020),,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Sulev Iva (p.c. 2020),,
UT016,Is there grammatical marking of habituality?,0,Sulev Iva (p.c. 2020),,
UT017,Is there grammatical marking of frequentativity?,1,Sulev Iva (p.c. 2020),UT017,
UT018,Is there grammatical marking of progressivity?,0,Sulev Iva (p.c. 2020),,Examples of 'be' + supine inessive are possible but infrequent.
UT019,Is it common to use a verb in the present tense for future time reference?,1,Sulev Iva (p.c. 2020),UT019,
UT020,Is there grammatical marking of the immediate future?,1,Sulev Iva (p.c. 2020),UT020,
UT021,Is there grammatical marking of pluperfect?,1,Sulev Iva (p.c. 2020),UT021,
UT022,Can aspect be expressed overtly in the negative marker?,0,Sulev Iva (p.c. 2020),,
UT023,Can tense be expressed overtly in the negative marker?,1,Sulev Iva (p.c. 2020),UT023,
UT024,Is there grammatical marking of mirativity?,0,Sulev Iva (p.c. 2020),,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Sulev Iva (p.c. 2020),,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Sulev Iva (p.c. 2020),UT026,
UT027,Are verbs marked in a non-indicative mood in counterfactual conditional clauses?,1,Sulev Iva (p.c. 2020),UT027,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Sulev Iva (p.c. 2020),,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Sulev Iva (p.c. 2020),UT029,More common in older language.
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Sulev Iva (p.c. 2020),,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Sulev Iva (p.c. 2020),UT031,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",1,Sulev Iva (p.c. 2020),UT032,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Sulev Iva (p.c. 2020),,"Typically, the conditional mood is used."
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Sulev Iva (p.c. 2020),,
UT035,Is there a reflexive conjugation?,0,Sulev Iva (p.c. 2020),,"There are only some rudiments, e.g. tä hiit kivi järve (3SG throw.3SG stone.GEN lake.ILL) 's/he will throw the stone into the lake' vs. tä hiitäs pikäle (3SG throw.REFL.3SG down) 's/he lies down'."
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Sulev Iva (p.c. 2020),,
UT039,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Sulev Iva (p.c. 2020),UT039,
UT040,Are 2nd singular verb forms commonly used with a generic meaning?,1,Sulev Iva (p.c. 2020),UT040,
UT042,Can an infinitival verb form be used in a directive function?,0,Sulev Iva (p.c. 2020),,
UT043,Can verbs in purposive subordinate clauses be in the bare infinitive form?,1,Sulev Iva (p.c. 2020),UT043,
UT044,Are there sentences without overt verbal arguments?,1,Sulev Iva (p.c. 2020),UT044,
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,1,Sulev Iva (p.c. 2020),UT045,
UT046,Is a copula commonly used for predicate nominals in the past tense?,1,Sulev Iva (p.c. 2020),UT046,
UT047,Can locative constructions commonly occur without a copula?,0,Sulev Iva (p.c. 2020),,"It is common to use a copula, e.g. ma olõ väläh (1SG be[1SG] outside) 'I am outside'. While playing a card game one could also say ma väläh (1SG out) 'I'm out’."
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Sulev Iva (p.c. 2020),"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,0,Sulev Iva (p.c. 2020),,
UT050,Can standard negation be asymmetric in the present tense?,1,Sulev Iva (p.c. 2020),UT050,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Sulev Iva (p.c. 2020),,
UT052,Is there a special negator that combines with non-finite forms?,0,Sulev Iva (p.c. 2020),,
UT053,Are there special negative non-finite forms?,1,Sulev Iva (p.c. 2020),UT053,
UT054,Is there an impersonal passive construction?,1,Sulev Iva (p.c. 2020),UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Sulev Iva (p.c. 2020),UT055,
UT056,Are there non-finite forms that can relativize at least all core participants (S/A/P) and possibly also some non-core participants?,0,Sulev Iva (p.c. 2020),,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all or some of the core participants?,0,Sulev Iva (p.c. 2020),,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",0,Sulev Iva (p.c. 2020),,
UT059,Is there a future participle?,0,Sulev Iva (p.c. 2020),,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Sulev Iva (p.c. 2020),,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,1,Sulev Iva (p.c. 2020),UT062,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Sulev Iva (p.c. 2020),,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Sulev Iva (p.c. 2020),"UT064-1, UT064-2",
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Sulev Iva (p.c. 2020),,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Sulev Iva (p.c. 2020),,
UT067,Is it pragmatically neutral to place an object between the negative marker and the main verb in imperative constructions?,1,Sulev Iva (p.c. 2020),UT067,It is also possible to use joogu-i / ärq jooguq tsäi-d (drink.IMP.2SG-NEG / NEG.IMP.2SG drink.CNG tea-PRT) 'Don't drink tea!'.
UT068,Are there preverbs?,0,Sulev Iva (p.c. 2020),,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Sulev Iva (p.c. 2020),,"The suffix may be attached only to the nominal form, e.g. käü-mise-kene (go-NMLZ-DIM) 'going'."
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Sulev Iva (p.c. 2020),"UT071-1, UT071-2",
UT072,Can the modifier of action nominalizations in the patient role be encoded like the direct object?,1,Sulev Iva (p.c. 2020),"UT072-1, UT072-2",
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Sulev Iva (p.c. 2020),UT073,
UT074,Is there morphological superlative marking on the property word?,0,Sulev Iva (p.c. 2020),,
UT075,Can adpositions have person/number marking?,0,Sulev Iva (p.c. 2020),,
UT076,Are there adpositions that show a tripartite system?,1,Sulev Iva (p.c. 2020),UT076,
UT077,Is there case compounding?,0,Sulev Iva (p.c. 2020),,
UT078,Are there morphological cases only used with pronouns?,0,Sulev Iva (p.c. 2020),,
UT079,Does the numeral modification of a noun have an effect on its case selection?,1,Sulev Iva (p.c. 2020),UT079,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Sulev Iva (p.c. 2020),UT079,
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Sulev Iva (p.c. 2020),,
UT083,Is there a dedicated case that expresses a terminative meaning?,1,Sulev Iva (p.c. 2020),UT083,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Sulev Iva (p.c. 2020),UT084,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Iva 2007,,Forms like netilde 'via internet' are regarded as adverbs.
UT086,Is there a locative case that expresses goal?,1,Sulev Iva (p.c. 2020),,
UT087,Is there a locative case that expresses location?,1,Sulev Iva (p.c. 2020),,
UT088,Is there a locative case that expresses source?,1,Sulev Iva (p.c. 2020),,
UT089,Is there case syncretism for goal and location marking?,0,Sulev Iva (p.c. 2020),,
UT090,Is there case syncretism for location and source marking?,0,Sulev Iva (p.c. 2020),,
UT091,Are there two sets of local cases?,1,Sulev Iva (p.c. 2020),,
UT092,Are there three or more sets of local cases?,0,Sulev Iva (p.c. 2020),,Other local relations are expressed by postpositions.
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniement (comitative)?,1,Sulev Iva (p.c. 2020),"UT093-1, UT093-2",
UT094,"Is there a case that expresses instrument (instrumental), which is different from a case that expresses accompaniment (comitative)?",0,Sulev Iva (p.c. 2020),,
UT095,Is there a dedicated case that expresses the result of a change (translative) and/or a state of being (essive)?,1,Sulev Iva (p.c. 2020),UT095,
UT096,"Is there a case that expresses the result of a change (translative), which is different from a case that expresses a state of being (essive)?",0,Sulev Iva (p.c. 2020),,"The inessive case is used, e.g. tä om Talna-h ministrih (3SG be.3SG Tallinn-INE minister-INE) 'S/he is a minster in Tallinn'."
UT097,Is there morphological marking dedicated to the expression of equativity?,0,Sulev Iva (p.c. 2020),,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Sulev Iva (p.c. 2020),,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Sulev Iva (p.c. 2020),,
UT100,Is it possible to use the singular with paired body parts/clothing/accessories that accompany them?,0,Sulev Iva (p.c. 2020),,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Sulev Iva (p.c. 2020),,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Sulev Iva (p.c. 2020),,
UT103,Is non-singular possession marked in the possessive declension?,0,Sulev Iva (p.c. 2020),,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Sulev Iva (p.c. 2020),,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,Sulev Iva (p.c. 2020),,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Sulev Iva (p.c. 2020),"UT106-1, UT106-2",
UT107,"When used as a relative pronoun, is it common to use 'who' for animates other than humans?",1,Sulev Iva (p.c. 2020),UT107,
UT108,"When used as a relative pronoun, is it common to use 'who' for inanimates?",1,Sulev Iva (p.c. 2020),UT108,
UT109,Can a demonstrative stem be used in the function of a pronoun with a 3Sg human referent?,1,Sulev Iva (p.c. 2020),UT109,
UT110,Are there possessive suffixes the position of which can vary in relation to case/number suffixes?,0,Sulev Iva (p.c. 2020),,
UT111,Is the order of number and case suffixes the same across the paradigm?,1,Sulev Iva (p.c. 2020),UT111,
UT112,Are there different words for mother’s brother and father’s brother?,1,Sulev Iva (p.c. 2020),"UT112-1, UT112-2",
UT113,Are there different words for younger and older relatives for relations other than siblings?,0,Sulev Iva (p.c. 2020),,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,0,Sulev Iva (p.c. 2020),,"Only nuur 'young' and vahtsõnõ 'new' differ, not vana 'old'."
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Sulev Iva (p.c. 2020),,
UT116,Is there contrastive length for consonants?,1,Plado and Lindström and Iva 2023:390-392,"UT116-1, UT116-2",
UT117,Is there contrastive length for vowels?,1,Plado and Lindström and Iva 2023:390-392,"UT117-1, UT117-2",
UT118,Is there a contrast between short and long unstressed vowels?,0,Plado and Lindström and Iva 2023:390-392,,
UT119,Is there a contrast in the length of geminate consonants?,1,Plado and Lindström and Iva 2023:391-392,"UT119-1, UT119-2",
UT120,Are there more than two phonological quantities?,1,Plado and Lindström and Iva 2023:391-392,"UT120-1, UT120-2",
UT121,Are there extralong syllables?,1,Plado and Lindström and Iva 2023:391-392,UT121,
UT122,Is the main foot structure trochaic?,1,Eva Saar (p.c. 2020),UT122,
UT123,Is there lexically distinctive word stress?,0,Plado and Lindström and Iva 2023:391,,
UT124,Is there morphologically conditioned stress?,1,Eva Saar (p.c. 2020),UT124,
UT125,Is there fixed primary stress?,1,Plado and Lindström and Iva 2023:391,UT125,
UT126,Is there stress in heavy syllables?,0,Plado and Lindström and Iva 2023:388-392,,
UT127,Is there non-initial primary stress?,0,Plado and Lindström and Iva 2023:391,,
UT128,Is there palatal vowel harmony?,1,Plado and Lindström and Iva 2023:390,UT128,/ø/ is restricted to the first syllable only.
UT129,Is there velar vowel harmony?,1,Plado and Lindström and Iva 2023:389,UT129,
UT130,Is there labial vowel harmony?,0,Plado and Lindström and Iva 2023:389-390,,
UT131,Are there closing diphthongs?,1,Plado and Lindström and Iva 2023:389,UT131,
UT132,Are there opening diphthongs?,1,Plado and Lindström and Iva 2023:389,UT132,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Plado and Lindström and Iva 2023:in passim,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Plado and Lindström and Iva 2023:in passim,,
UT135,Is there a high front rounded vowel /y/?,1,Plado and Lindström and Iva 2023:389,UT135,
UT136,Is there a mid-high front rounded vowel /ø/?,1,Plado and Lindström and Iva 2023:389,UT136,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,1,Plado and Lindström and Iva 2023:389,UT137,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,1,Plado and Lindström and Iva 2023:389,UT138,
UT139,Is there a low back rounded vowel /ɒ/?,0,Plado and Lindström and Iva 2023:389,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Plado and Lindström and Iva 2023:389,"UT140-1, UT140-2",
UT141,Are there word-initial consonant clusters?,1,Plado and Lindström and Iva 2023:391,UT141,
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Eva Saar (p.c. 2020),,
UT143,Are there consonant clusters in the syllable coda?,1,Eva Saar (p.c. 2020),UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Eva Saar (p.c. 2020),UT144,
UT145,Are there word-final clusters of three or more consonants?,1,Eva Saar (p.c. 2020),UT145,
UT146,Are there palatalized alveolar consonants?,1,Plado and Lindström and Iva 2023:391,UT146,
UT147,Are there palatalized labial and velar consonants?,1,Plado and Lindström and Iva 2023:391,"UT147-1, UT147-2",
UT148,Is there a palatal stop?,0,Plado and Lindström and Iva 2023:390-391,,
UT149,Is there a palatal nasal /ɲ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT150,Is there a palatal lateral /ʎ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT151,Is there a velar nasal /ŋ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT152,Is there an alveolar affricate /t͡s/?,1,Plado and Lindström and Iva 2023:390-391,UT152,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",0,Plado and Lindström and Iva 2023:390-391,,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Plado and Lindström and Iva 2023:390-391,,
UT156,Is there a glottal stop /ʔ/?,1,Plado and Lindström and Iva 2023:390-391,"UT156-1, UT156-2",
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Plado and Lindström and Iva 2023:390-391,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Plado and Lindström and Iva 2023:391-392,,
UT159,Is there a laryngeal fricative /h/?,1,Plado and Lindström and Iva 2023:390-391,UT159,
UT160,Is there a voiced velar fricative /ɣ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT161,Is there a voiceless velar fricative /x/?,0,Plado and Lindström and Iva 2023:390-391,,
UT162,Is there a voiced dental fricative /ð/?,0,Plado and Lindström and Iva 2023:390-391,,
UT163,Is there a labio-velar approximant /w/?,0,Plado and Lindström and Iva 2023:390-391,,
UT164,Is there a voiceless labiodental fricative /f/?,0,Plado and Lindström and Iva 2023:390-391,,
UT165,Is there radical qualitative consonant gradation?,1,Plado and Lindström and Iva 2023:392,"UT165-1, UT165-2",
UT166,Is there quantitative consonant gradation?,1,Plado and Lindström and Iva 2023:392,"UT166-1, UT166-2",
